ENCSR217SET	ENCFF242UZF	ENCFF726FED
ENCSR217SET	ENCFF080TUY	ENCFF914NUU
ENCSR244ZEJ	ENCFF711NZZ	ENCFF037ZSW
ENCSR364TKL	ENCFF423OOK	ENCFF078RPO
ENCSR562FNN	ENCFF191SRN	ENCFF775FBE
ENCSR562FNN	ENCFF815OAG	ENCFF534HPH
ENCSR000EQC	ENCFF742XYO	ENCFF479VHW
ENCSR000EQC	ENCFF425YMJ	ENCFF148BTW
ENCSR000EOL	ENCFF342XZT	ENCFF221IPJ
ENCSR000EOL	ENCFF034QAX	ENCFF333CZG
ENCSR753QKD	ENCFF240PRN	ENCFF851IQY
ENCSR141NSQ	ENCFF983CEF	ENCFF044CTX
ENCSR944JCE	ENCFF685OUP	ENCFF951HWM
ENCSR964VVW	ENCFF216TVS	ENCFF491HNC
ENCSR263IGU	ENCFF385SWW	ENCFF784RSW
ENCSR262QJC	ENCFF577AHY	ENCFF369CRG
ENCSR639XWF	ENCFF839QKD	ENCFF655RAK
ENCSR488PHT	ENCFF737ILJ	ENCFF877ULZ
ENCSR385AMY	ENCFF730FJF	ENCFF973KXU
ENCSR540PVZ	ENCFF445ADE	ENCFF785TYR
ENCSR928SYE	ENCFF641XHB	ENCFF168UHZ
ENCSR286WIA	ENCFF992HOZ	ENCFF502QQC
ENCSR706IDL	ENCFF444EIJ	ENCFF547ZQF
ENCSR706IDL	ENCFF492DGO	ENCFF225GCE
ENCSR462XTM	ENCFF717PYY	ENCFF410TTD
ENCSR768OLL	ENCFF009DSK	ENCFF268XHZ
ENCSR240TPI	ENCFF678JJZ	ENCFF818DSK
ENCSR240TPI	ENCFF774RTX	ENCFF052CAZ
ENCSR373BIX	ENCFF721AAE	ENCFF259NLK
ENCSR373BIX	ENCFF611TSQ	ENCFF475NUL
ENCSR039ZVQ	ENCFF738LZH	ENCFF269PEU
ENCSR000ENC	ENCFF419YZK	ENCFF382FZE
ENCSR000ENC	ENCFF860MDX	ENCFF851OEN
ENCSR118WIQ	ENCFF067PJM	ENCFF657KLL
ENCSR754LIN	ENCFF222OQF	ENCFF685WFL
ENCSR754LIN	ENCFF100XZT	ENCFF630MXI
ENCSR176KYD	ENCFF658JQA	ENCFF433QRU
ENCSR666YVE	ENCFF384DKP	ENCFF365LXQ
ENCSR873ANE	ENCFF884TCQ	ENCFF248ZTQ
ENCSR873ANE	ENCFF084RXG	ENCFF684WCC
ENCSR000EMR	ENCFF316LPW	ENCFF709TDR
ENCSR000ENG	ENCFF557GXL	ENCFF443IYY
ENCSR000ENG	ENCFF994IJJ	ENCFF463QGX
ENCSR000EOJ	ENCFF600ZPV	ENCFF655AEV
ENCSR000EOJ	ENCFF876COX	ENCFF063KJP
ENCSR214QEO	ENCFF342FSA	ENCFF584GYN
ENCSR000EOS	ENCFF415QST	ENCFF916JRN
ENCSR000EOS	ENCFF825XSS	ENCFF412ODW
ENCSR770DEN	ENCFF920QWF	ENCFF375JUQ
ENCSR835BNW	ENCFF256HUH	ENCFF436ICH
ENCSR000EQG	ENCFF673CRF	ENCFF335KDD
ENCSR000EQG	ENCFF274ASG	ENCFF889LFN
ENCSR422PVL	ENCFF225BMQ	ENCFF963ION
ENCSR076YBB	ENCFF776CQU	ENCFF475YJR
ENCSR851ZFT	ENCFF099CBN	ENCFF590MET
ENCSR649PJN	ENCFF838ACP	ENCFF903LEE
ENCSR887BNC	ENCFF967YWH	ENCFF596RFA
ENCSR855DJV	ENCFF247HQX	ENCFF141YBL
ENCSR865ICK	ENCFF721VXJ	ENCFF193WRL
ENCSR532CRI	ENCFF757WSE	ENCFF850IPE
ENCSR532CRI	ENCFF371ZLX	ENCFF135BMZ
ENCSR941DTJ	ENCFF907ZLW	ENCFF547ICI
ENCSR187PYY	ENCFF258KTF	ENCFF378OWK
ENCSR911LTI	ENCFF626HEO	ENCFF326FWY
ENCSR217RVH	ENCFF495LZU	ENCFF285PVN
ENCSR000EQL	ENCFF941WEG	ENCFF369NZI
ENCSR000EQL	ENCFF514GIB	ENCFF916FUI
ENCSR783OCW	ENCFF355YHP	ENCFF376RIO
ENCSR683QJJ	ENCFF495OFD	ENCFF131RGB
ENCSR154ZNQ	ENCFF486AQD	ENCFF604EJP
ENCSR000EOG	ENCFF032ZHQ	ENCFF719ZEX
ENCSR792ZXA	ENCFF519VQK	ENCFF532YJA
ENCSR792ZXA	ENCFF544VZR	ENCFF419BLQ
ENCSR362JSZ	ENCFF533BQX	ENCFF708ZHA
ENCSR953WJO	ENCFF263JEB	ENCFF459LFA
ENCSR000EPS	ENCFF630DWU	ENCFF644NWU
ENCSR000EPS	ENCFF115YBL	ENCFF293NUA
ENCSR932KWJ	ENCFF939DQH	ENCFF385DEA
ENCSR932KWJ	ENCFF402SAN	ENCFF799EBA
ENCSR000EPE	ENCFF555GHS	ENCFF888EDP
ENCSR000EPE	ENCFF366BKM	ENCFF639MPM
ENCSR000EQH	ENCFF291KFT	ENCFF768PJS
